developer_id,ticket_id,completion_time,revisions,sentiment_score,timestamp
1,9,13.3,10,0.77,
1,5,8.5,7,0.77,
1,4,14.9,2,0.87,
1,4,7.4,5,0.97,
2,15,20.3,7,0.74,
2,9,5.2,0,1.0,
2,14,10.0,5,0.74,
2,9,7.4,0,1.0,
2,3,17.6,1,1.0,
2,12,11.5,6,1.0,
2,2,22.0,5,0.74,
2,11,33.2,2,1.0,
3,12,14.9,3,0.71,
3,1,18.6,5,0.91,
3,5,19.0,5,1.0,
3,14,30.5,4,0.81,
4,13,36.1,1,1.0,
4,12,11.8,5,0.98,
4,5,13.9,0,0.98,
5,13,16.6,1,0.75,
5,7,28.4,6,0.65,
5,6,17.7,2,1.0,
5,11,13.3,4,0.95,
6,3,11.0,6,0.92,
6,14,17.0,2,0.62,
6,15,7.9,8,0.62,
7,14,10.5,2,0.79,
7,9,19.2,3,0.99,
7,5,22.5,2,0.79,
7,7,39.8,7,0.59,
7,13,35.0,1,0.89,
8,9,7.5,2,0.76,
8,11,17.8,6,0.66,
8,4,22.0,1,0.56,
8,2,16.4,3,0.76,
8,7,12.5,6,0.56,
8,6,19.6,2,0.56,
9,7,12.3,3,0.93,
9,6,32.4,0,0.73,
9,11,11.2,4,0.53,
10,12,23.5,3,1.0,
10,5,21.9,1,0.9,
10,9,18.4,0,1.0,
8,5,4.0,1,1.0,2025-07-30 14:53:06.746469
